nct_id,tool_results,has_error,tool_prompted_pmids,tool_result_pmids,tool_ident_steps,tool_truncated
NCT03752502,false,true,"33788097,34127394,34487920,37042223,38805069",,,undefined
NCT01592370,true,true,"25482239,27269947,31124580,31981025,32601377,33321969,36752328,38194016,38781564",25482239,"linked_at_registration,pubmed_naive,pubmed_enhanced,nct_match",undefined
NCT01085500,true,true,"21865947,25336820,26863294,31250243,31292742,34740413,35415803,35634184,35688704,36792789,37858296",21865947,"linked_at_registration,google_scholar,nct_match",undefined
NCT00284791,false,true,22114540,,,undefined
NCT00527215,false,true,15794734,,,undefined
NCT00994539,false,true,null,,,undefined
NCT02326753,false,true,null,,,undefined
NCT02852824,false,true,"36451029,39373152",,,undefined
NCT01087723,true,true,"24171490,24268209,25572507,26056249,26995053,27165710,27287251,28273285,28631502,29225903","24171490,25572507,26056249,26995053,27165710,27287251,28273285,29225903","linked_at_registration,google_scholar,nct_match,pubmed_naive,pubmed_enhanced",undefined
NCT05154968,false,true,null,,,undefined
NCT02145559,true,true,"28898679,28915708,29948021,31102920,31713495,32394479,32399389,37160171,37555194,37624423",29948021,"pubmed_naive,pubmed_enhanced,google_scholar",undefined
NCT00163761,false,true,null,,,undefined
NCT03947580,false,true,null,,,undefined
NCT03771339,false,true,"33186305,37273946,38479127,39010772,39206228,39463102",,,undefined
NCT03034694,true,true,"31541745,31557497,39432151,39485591,39486765,39500711",31557497,google_scholar,undefined
NCT00550550,true,true,"24812522,25495666,25685162,26495999,27527264,27838323,31954191,36653868,37859770,38529710,38672249","25495666,25685162,27527264,27838323,31954191","google_scholar,linked_at_registration,pubmed_naive,nct_match",undefined
NCT00047515,true,true,"12545683,12697062,15790897,19959644,28239491",28239491,pubmed_enhanced,undefined
NCT04327739,true,true,"36120764,38499684,38502554,38674202,39127951,39459424",36120764,"pubmed_enhanced,google_scholar",undefined
NCT02735122,true,true,38124555,38124555,"pubmed_naive,google_scholar,nct_match",undefined
NCT00277771,true,true,"22704741,22936524,23725640,24434827,24462731,26609668,27654602,28409090,32087342,32202506,37458000,38713063,38962498,39113371,39405403","22704741,22936524,23725640,24434827,32087342","linked_at_registration,google_scholar,nct_match,pubmed_enhanced",undefined
NCT00383565,false,true,"17498667,20025605,21168343,21185361,22491302,23103179,27329599,35008680,36362442,39214957,39240498,39368485,39409979,39425756",,,undefined
NCT03680664,true,true,"34130721,34630733,38862476",34630733,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT02710201,true,true,"28213634,29990615,32874593,35657298,37055760,38013166,38512336",28213634,"linked_at_registration,google_scholar,nct_match",undefined
NCT03566485,false,true,"30496435,30689917,31511663,32874827,34510317,34808524,35429910,36361773,38365756,38845342,38927895,39028669,39099762,39446377,39469641",,,undefined
NCT02949583,false,true,null,,,undefined
NCT00704561,true,true,"20630463,33224763,38970466,39196989,39277074,39408046,39466496",20630463,"linked_at_registration,google_scholar,nct_match",undefined
NCT00892190,true,true,"24694321,25631637,25817574,26287494,26539342,29616864,31726045,34299349,38685568",29616864,google_scholar,undefined
NCT00152594,false,true,25808916,,,undefined
NCT02942498,false,true,null,,,undefined
NCT02548897,false,true,"32581744,33101007,39464215",,,undefined
NCT01190384,true,true,"26225995,28735851",26225995,google_scholar,undefined
NCT02346032,false,true,"26298497,26325474,28480071,29170065,30743998,31015767,32827952,33658799",,,undefined
NCT03629886,true,true,"31305011,31829767,36101936,36113531,38944184",36101936,"pubmed_naive,nct_match",undefined
NCT01578174,true,true,"23707085,31544371",23707085,google_scholar,undefined
NCT01778270,true,true,"25861647,32109235",25861647,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match",undefined
NCT03235947,true,true,"30133928,31883327",31883327,"linked_at_registration,pubmed_naive,pubmed_enhanced,nct_match",undefined
NCT04559854,true,true,35523716,35523716,"pubmed_enhanced,google_scholar",undefined
NCT01460303,true,true,"26829348,39298682,39363437,39415798",26829348,google_scholar,undefined
NCT05097937,true,true,"35629015,36817790,37847947,38194261,38419662","35629015,37847947","pubmed_naive,google_scholar",undefined
NCT02668575,true,true,"28215711,31235360,31473650,31862306,35536059,36350712,36516754,36703990,38917792,39106098",36350712,google_scholar,undefined
NCT03877458,false,true,"38293539,38534755,39392469",,,undefined
NCT00660894,true,true,"22415232,24647158,24942277,25929347,26976971,30425843,33403014,37022513,37097679,37198556,37749535,38881069","22415232,24942277,26976971,30425843","google_scholar,linked_at_registration,nct_match",undefined
NCT03524040,true,true,"30070369,32582729,33665916,34865224,35593006,36544584,39366915,39382264,39493507",30070369,google_scholar,undefined
