"";"nct_id";"tool_results";"has_error";"tool_prompted_pmids";"tool_result_pmids";"tool_ident_steps";"tool_truncated";"X";"has_publication";"publication_doi";"publication_pmid";"publication_url";"identification_step";"has_summary_results";"completion_year";"dataset";"agree";"any_results";"tool_detected_correct_pub";"tool_found_correct_pub"
"1";"NCT01634958";FALSE;TRUE;"";"";"";NA;1264;TRUE;"10.1111/j.1365-2222.2010.03521.x";20642579;"http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2222.2010.03521.x/full";"Systematic Google search";FALSE;2013;"iv";FALSE;TRUE;FALSE;FALSE
"2";"NCT03265899";FALSE;TRUE;"";"";"";NA;1997;TRUE;"10.1038/s41386-018-0063-3";29703998;"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6300531/";"Systematic Google search";FALSE;2016;"iv";FALSE;TRUE;FALSE;FALSE
"3";"NCT01032681";FALSE;TRUE;"21051020,30201522,30991144";"";"";NA;1043;TRUE;"10.1016/j.ejca.2012.07.015";22918078;"https://www.ncbi.nlm.nih.gov/pubmed/22918078";"Systematic Google search";FALSE;2012;"iv";FALSE;TRUE;FALSE;FALSE
"4";"NCT01079091";FALSE;TRUE;"25895618,26311600,26785141,28209134";"";"";NA;1064;TRUE;"10.1186/s12876-017-0569-x";28209134;"https://www.ncbi.nlm.nih.gov/pubmed/28209134";"Systematic Google search";FALSE;2013;"iv";FALSE;TRUE;FALSE;TRUE
"5";"NCT01480362";FALSE;TRUE;"23549031,25158846,33038929";"";"";NA;2708;TRUE;"10.1136/bmjopen-2018-026345";32209619;"https://bmjopen.bmj.com/content/10/3/e026345";"Linked at the registration";FALSE;2015;"iv";FALSE;TRUE;FALSE;FALSE
"6";"NCT00880230";FALSE;TRUE;"";"";"";NA;1542;FALSE;NA;NA;NA;NA;TRUE;2012;"iv";FALSE;TRUE;NA;NA
"7";"NCT01191632";TRUE;TRUE;"21961577,26686362,29564183,33205441";"21961577";"linked_at_registration,pubmed_naive,google_scholar,nct_match";NA;1675;FALSE;NA;NA;NA;NA;FALSE;2012;"iv";FALSE;FALSE;NA;NA
"8";"NCT01362361";TRUE;TRUE;"23997938,24924525,26293581,32930387";"32930387";"linked_at_registration,pubmed_naive,google_scholar,nct_match";NA;1736;FALSE;"10.1200/jco.2012.30.15_suppl.tps3636";NA;"http://ascopubs.org/doi/abs/10.1200/jco.2012.30.15_suppl.tps3636";"Other";FALSE;2013;"iv";FALSE;FALSE;NA;NA
"9";"NCT01036438";FALSE;TRUE;"31978262";"";"";NA;1607;FALSE;NA;NA;NA;NA;TRUE;2013;"iv";FALSE;TRUE;NA;NA
"10";"NCT01790022";TRUE;TRUE;"26155618";"26155618";"pubmed_enhanced";NA;1903;FALSE;"10.17116/terarkh201587547-52";26155618;"https://www.ncbi.nlm.nih.gov/pubmed/26155618";"Other";FALSE;2013;"iv";FALSE;FALSE;TRUE;TRUE
